ID,Hotel_name,Marks,City,Satisfaction,Reviews,Price,Distances,Discriptions,Stars,Breakfast
4757,The Loft All-Inclusive Hotel Adults Only,9.4,OldTown,Wonderful,1952,531,0.9,Deluxe Double Room,4,Breakfast included
4758,Domus Mater Hotel,9.0,Podgórze,Wonderful,497,315,4,Twin Room,3,Breakfast included
4766,Hotel Columbus,9.0,OldTown,Wonderful,1106,333,1.3,Single Room,3,Breakfast included
4768,Apartamenty Czapskich,9.4,OldTown,Wonderful,257,240,0.6,Classic Double or Twin Room with City View,4,Not included
4771,ON/SET APARTHOTEL,9.2,OldTown,Wonderful,315,305,0.4,King Studio,4,Not included
4775,Hotel Jan,9.0,OldTown,Wonderful,2447,385,0.4,Single Room,3,Not included
4783,Garden Square Hotel,9.3,Lagiewniki,Wonderful,2981,388,4.3,Single Room,4,Breakfast included
4785,"Hotel Indigo Krakow - Old Town, an IHG Hotel",9.3,OldTown,Wonderful,645,484,0.6,Queen Bed Standard,4,Not included
4788,Hotel Elektor Premium,9.0,OldTown,Wonderful,1189,359,0.3,Deluxe Single Room,3,Not included
4791,Hotel Unicus Krakow Old Town,9.0,OldTown,Wonderful,1154,543,0.3,Single Room,4,Not included
4792,Hotel Estera,9.3,OldTown,Wonderful,2039,377,1.3,Twin Room,4,Not included
4794,Hotel M29,9.1,OldTown,Wonderful,1599,426,1.3,Standard Double Room,4,Not included
4796,Rose - Apartamenty Kleparskie,9.3,OldTown,Wonderful,40,231,0.9,One-Bedroom Apartment,3,Not included
4808,Residence9,9.2,OldTown,Wonderful,163,450,0.15,Single Room - Attic,4,Not included
4810,Apartment Zen Jacuzzi,9.3,OldTown,Wonderful,172,337,0.9,Superior Apartment,3,Not included
4819,Hotel Saski Krakow Curio Collection by Hilton,9.4,OldTown,Wonderful,135,784,0.05,King Room - Courtyard,5,Not included
4824,Cracow Rentals Zacisze,9.2,OldTown,Wonderful,735,437,0.5,Junior Suite,4,Not included
4826,Delis Apartments - Dluga Street 11/3,9.0,OldTown,Wonderful,610,280,0.5,Apartment,3,Not included
4828,Kochanowskiego Apartment - Topolove Rooms & Apartments,9.3,OldTown,Wonderful,55,328,0.9,Deluxe Double Studio,3,Not included
4831,Conrad Comfort,9.0,PradnikBialy,Wonderful,261,281,3.8,Double or Twin Room,4,Not included
4834,Academia Apartments,9.4,OldTown,Wonderful,383,443,0.45,Superior Studio,4,Not included
4836,Aparthotel Delta Boutique,9.1,OldTown,Wonderful,353,417,1.4,Large Double Room,4,Not included
4842,Academia Apartments,9.4,OldTown,Wonderful,383,443,0.45,Superior Studio,4,Not included
4843,Parkside Apartments Old Town,9.1,OldTown,Wonderful,814,360,0.6,Double Room with Garden,4,Not included
4847,Apartamenty Platinia,9.0,OldTown,Wonderful,1259,464,0.8,Double Room,3,Not included
4849,Krakstop,9.2,PodgorzeDuchackie,Wonderful,4,139,6.9,Double Room with Shared Bathroom,0,Not included
4852,Apartamenty Czapskich,9.4,OldTown,Wonderful,257,240,0.6,Classic Double or Twin Room with City View,4,Not included
4855,Hotel Columbus,9.0,OldTown,Wonderful,1106,333,1.3,Single Room,3,Breakfast included
4857,Uroczy apartament obok Opery i Dworca Głównego,9.1,Grzegórzki,Wonderful,13,311,1.5,Two-Bedroom Apartment,3,Not included
4859,Browar Lubicz Residence,9.2,Grzegórzki,Wonderful,3089,450,0.8,Superior Studio Apartment,4,Not included
4860,Queen Boutique Hotel,9.3,OldTown,Wonderful,907,603,1.1,Double Room,4,Breakfast included
4861,Metropolitan Boutique Hotel,9.3,OldTown,Wonderful,2254,763,1.2,Junior Suite,4,Breakfast included
4873,Jacuzzi Rakowicka Top Apartments,9.1,OldTown,Wonderful,138,500,1.4,Large Double Room,3,Not included
4875,Uroczy domek w centrum Krakowa,9.1,Grzegórzki,Wonderful,8,300,0.9,One-Bedroom Apartment,0,Not included
4883,Hotel Unicus Palace,9.3,OldTown,Wonderful,1898,1040,0.25,Single Room,5,Not included
4893,Guesthouse Bebek,9.4,Baščaršija,Wonderful,242,189,0.25,Double or Twin Room,3,Not included
4896,Hotel Sana,9.3,Baščaršija,Wonderful,1082,365,0.05,Double or Twin Room,4,Breakfast included
4898,Guesthouse Kod Keme,9.3,Baščaršija,Wonderful,178,117,0.2,Single Room,0,Not included
4901,Swissotel Sarajevo,9.1,Sarajevo,Wonderful,1263,613,1.9,Standard Double or Twin Room,5,Breakfast included
4902,Novotel Sarajevo Bristol,9.1,Sarajevo,Wonderful,353,426,3.3,Superior Queen Room - Lane Side,4,Breakfast included
4903,Hotel President Sarajevo,9.0,Baščaršija,Wonderful,1558,403,0.2,Single Standard,4,Breakfast included
4904,Residence Prime Luxury,9.1,Baščaršija,Wonderful,165,240,0.6,Standard Double Room,3,Not included
4906,Hideaway Rooms & Apartments Sarajevo,9.0,Baščaršija,Wonderful,219,122,0.9,Single Room with Bathroom,3,Not included
4907,Old Town Hotel,9.4,Baščaršija,Wonderful,806,309,0.2,Single Room,4,Breakfast included
4916,Swissotel Sarajevo,9.1,Sarajevo,Wonderful,1263,613,1.9,Standard Double or Twin Room,5,Breakfast included
4917,Riverside Residence,9.0,Baščaršija,Wonderful,304,211,0.25,Double Room,4,Not included
4923,Hotel Sana,9.3,Baščaršija,Wonderful,1082,365,0.05,Double or Twin Room,4,Breakfast included
4924,Malak Regency Hotel,9.0,Sarajevo,Wonderful,1766,342,10.5,Classic Double Room,5,Breakfast included
4928,Bed and Breakfast M Jasmin,9.2,Sarajevo,Wonderful,4,108,3.4,Single Room,0,Breakfast included
4930,Toplik,9.4,Sarajevo,Wonderful,513,140,0.45,Superior Triple Room,4,Not included
4931,Hotel President Sarajevo,9.0,Baščaršija,Wonderful,1558,403,0.2,Single Standard,4,Breakfast included
4933,Apartmani RALE rooms,9.0,Sarajevo,Wonderful,213,70,7.2,Studio,2,Not included
4935,Enjoy Apartments,9.4,Baščaršija,Wonderful,574,194,1.1,Double or Twin Room,5,Not included
4938,Guesthouse Biser,9.1,Sarajevo,Wonderful,354,164,0.3,Deluxe Triple Room,3,Not included
5073,Villa Hotel Frankfurt by MZ HotelCollection,9.2,Westend,Wonderful,69,522,2.2,Double or Twin Room,3,Breakfast included
5117,Hyatt Centric The Liberties Dublin,9.0,DublinCityCentre,Wonderful,2683,1056,1.5,King Room,4,Not included
5131,The Wilder,9.0,DublinCityCentre,Wonderful,633,981,1.9,Single Room,4,Not included
5149,Hyatt Centric The Liberties Dublin,9.0,DublinCityCentre,Wonderful,2683,1056,1.5,King Room,4,Not included
5152,Hard Rock Hotel Dublin,9.1,TempleBar,Wonderful,1954,1121,0.8,Standard King Room,4,Not included
5164,Stylish City Apartments Vienna,9.2,15.Rudolfsheim-Fünfhaus,Wonderful,16,973,3.8,One-Bedroom Apartment,3,Not included
5172,Hotel Stefanie,9.0,02.Leopoldstadt,Wonderful,2179,505,0.8,Single Room,4,Breakfast included
5179,Andaz Vienna Am Belvedere - a concept by Hyatt,9.1,Vienna,Wonderful,1474,795,2.7,King Room,5,Not included
5187,Jaz in the City Vienna,9.1,06.Mariahilf,Wonderful,1980,712,1.8,Superior Double Room,4,Not included
5194,Hotel Erzherzog Rainer,9.0,04.Wieden,Wonderful,1364,438,1.6,Single Room,4,Breakfast included
5210,Hotel Capricorno,9.0,01.InnereStadt,Wonderful,767,814,0.5,Double Room,4,Breakfast included
5213,Jaz in the City Vienna,9.1,06.Mariahilf,Wonderful,1980,712,1.8,Superior Double Room,4,Not included
5214,Apartamenty Pomarańczarnia,9.0,StareMiastoDistrict,Wonderful,2688,129,0.7,Single Room with Private External Bathroom,3,Not included
5215,B&B Hotel Poznań Old Town,9.0,StareMiastoDistrict,Wonderful,1695,275,0.5,Double Room,3,Not included
5219,Hotel Włoski Italia Boutique Old Town Poznań,9.3,Wilda,Wonderful,1964,299,1.3,Deluxe Double Room with King size bed,4,Not included
5223,Hampton By Hilton Poznan Old Town,9.0,StareMiastoDistrict,Wonderful,3842,342,0.4,Queen Room,3,Breakfast included
5226,PURO Poznań Stare Miasto,9.0,StareMiastoDistrict,Wonderful,4122,395,0.3,Classic Double Room,4,Not included
